Is Registered,Accepts Card,encoded__Miscellaneous Stores,Transaction Fees per Unit Turnover_Scaled,Current pricing,Average Transaction Amount Scaled,Total Annual Transaction Fees Scaled,Visa Debit Scaled,Visa Credit Scaled,Annual Card Turnover Scaled,Visa Business Debit Scaled
0,1,True,0.15288267875125888,Neutral,0.0008861756597085466,0.0031120918553330665,0.09843473704892265,0.10351401156510134,0.0017541232686289305,0.09679854078872883
0,1,False,0.45436807653575034,Non-Competitive,0.09836549822764869,0.0006868703043183136,0.1744056585238064,0.1371926034186948,0.000175175484695303,0.0905088370337757
0,1,True,0.05896651150890107,Competitive,0.030129972430090586,0.001163043854463376,0.020817338060999405,0.04993708679248904,0.0010523686979917626,0.0596175819141707
0,1,False,0.027840718361866384,Competitive,0.002855454903505317,0.012409429578726193,0.022944091514395172,0.03827497828895596,0.014034828254779367,0.026563515525083334
0,1,True,0.13359588548410306,Neutral,0.0005907837731390312,0.011487781749969799,0.10881992459043811,0.11930936192231048,0.00701728254840769,0.10111148050640921
1,1,True,0.37569234642497484,Non-Competitive,0.0013784954706577393,0.005895004105119848,0.1449341803654463,0.10859757259960603,0.0017541232686289305,0.06220517013648659
0,0,True,0.21834088620342396,Neutral,0.007778653012997242,0.0007851369798051349,0.08599122404872617,0.05140751096142848,0.000350614127354595,0.005597836341908288
0,0,False,0.05608006042296072,Competitive,0.49222134698700276,0.0038070337843758664,0.01781387124238653,0.0470229395691682,0.00350850969522185,0.05673312786967734
0,0,False,0.45436807653575034,Non-Competitive,0.0008861756597085466,0.0003429369401144386,0.1744056585238064,0.1371926034186948,8.745616336565703e-05,0.0905088370337757
0,1,True,0.00019105693039331295,Competitive,0.24389523434423,0.02411813475880475,0.00019880231253192188,0.00019289016394802294,0.0350874653738944,0.0001909247443266926
0,1,False,0.022595669687814707,Competitive,0.0038400945254037015,0.01782850917623944,0.017486410373960308,0.03297960221134906,0.021052373961151043,0.021322095729291154
0,0,False,0.052240684793554884,Competitive,0.019594328475777866,0.005567186475695812,0.018992730368720935,0.04359153587087755,0.00526289612181477,0.09522611484999056
1,1,True,0.21834088620342396,Neutral,0.011717211500590784,0.0007851369798051349,0.08599122404872617,0.05140751096142848,0.000350614127354595,0.005597836341908288
1,1,False,0.09094914400805647,Competitive,0.06144151240645923,0.003157373139397394,0.03399043814264194,0.04098621084069391,0.0023681585179364524,0.03490785583998991
0,0,True,0.18246475327291045,Neutral,0.0038400945254037015,0.0006955177717611539,0.07878708494334927,0.04441761453898456,0.000350614127354595,0.20246556387194165
1,1,True,0.1103977844914401,Neutral,0.004824734147302088,0.002064962161345497,0.05861549544829392,0.07174175509944716,0.0014032459833103466,0.1729039562236619
0,0,True,0.18524154374740842,Neutral,0.0032493107522646707,0.004395570245044469,0.08167644554710851,0.04722104893301138,0.0021927198752771603,0.20524043317559598
0,1,False,0.10687883365375812,Neutral,0.0009846396218983853,0.009264514807558142,0.07715573443518893,0.08629922533461906,0.006403247299100167,0.07409842814585195
0,0,False,0.10498489425981876,Neutral,0.24606144151240644,0.0012564239554399305,0.039098827690091015,0.04022367668551821,0.0008769300553324709,0.04547455814831121
1,1,True,0.3756923464249748,Non-Competitive,0.1968294604174872,2.8483578556610052e-05,0.1449341803654463,0.10859757259960603,8.50877416897566e-06,0.06220517013648659
1,0,True,0.45436807653575034,Non-Competitive,0.0008861756597085466,0.0013747370327260636,0.1744056585238064,0.1371926034186948,0.000350614127354595,0.0905088370337757
0,0,True,0.0437594410876133,Competitive,0.7876132335565184,0.0437522408364178,0.015341541685768546,0.028610916947321596,0.043859397506858994,0.011337191018303036
0,0,False,0.04383811681772408,Competitive,0.39375738479716427,0.00875456436178635,0.015423406902875102,0.028690347588485737,0.008771668975000608,0.011415812315239957
1,0,False,0.37569234642497484,Non-Competitive,0.09836549822764869,0.0005886036288314921,0.1449341803654463,0.10859757259960603,0.000175175484695303,0.06220517013648659
0,0,False,0.21834088620342396,Neutral,0.49222134698700276,0.0019643370856469917,0.08599122404872617,0.05140751096142848,0.0008769300553324709,0.005597836341908288
0,0,False,0.07899043303121854,Competitive,0.002855454903505317,0.005474422734036253,0.04682690418494989,0.0705979538666836,0.00438570290851831,0.12195735580854143
1,1,False,0.09518714333669016,Competitive,0.002855454903505317,0.0035877025646892814,0.04887899229375205,0.05543199678040922,0.00263131648192539,0.04920644904291464
1,1,True,0.18382846592816382,Neutral,0.0013784954706577393,0.0015738253172623633,0.13502303141441152,0.14587702018597254,0.0007892107340028248,0.24628383336478082
1,0,False,0.21834088620342396,Neutral,0.0013784954706577393,0.0004706836182473064,0.08599122404872617,0.05140751096142848,0.00021026321322716138,0.005597836341908288
1,1,False,0.22148791540785495,Non-Competitive,9.846396218983852e-05,0.019054877286314966,0.08481236492239176,0.050263709728664924,0.008420791689682024,0.1176803572551733
0,1,False,0.09057150050352471,Competitive,0.09836549822764869,0.004668635995044319,0.03359748510053048,0.040604943763106055,0.00350850969522185,0.03453047361469273
0,1,False,0.05049932863376973,Competitive,0.07374950768018905,0.005501937403172562,0.018490623703798538,0.02937874647857279,0.00526289612181477,0.01775793026814894
0,1,False,0.06468575482925938,Competitive,0.00531705395825128,0.011062258968918865,0.03194231925648372,0.05615601910956662,0.009648862188297068,0.10766257454728285
1,0,False,0.37569234642497484,Non-Competitive,0.000393855848759354,0.0005886036288314921,0.1449341803654463,0.10859757259960603,0.000175175484695303,0.06220517013648659
1,0,False,0.45436807653575034,Non-Competitive,0.000393855848759354,0.0003429369401144386,0.1744056585238064,0.1371926034186948,8.745616336565703e-05,0.0905088370337757
0,1,True,0.08207452165156094,Competitive,0.04913351713272942,0.0017819541359434515,0.02914401728993385,0.0431467242803584,0.0014032459833103466,0.1446002893263727
0,0,True,0.21834088620342396,Neutral,0.009747932256794014,0.00392967059538342,0.08599122404872617,0.05140751096142848,0.0017541232686289305,0.005597836341908288
0,1,True,0.43548590130916415,Non-Competitive,0.0018708152816069316,0.013284658101728816,0.16733250376579994,0.13032979602211348,0.00350850969522185,0.0837159569784263
1,0,False,0.37569234642497484,Non-Competitive,0.0008861756597085466,0.0016498837240891632,0.1449341803654463,0.10859757259960603,0.0004909650414820285,0.06220517013648659
0,1,False,0.13714753272910374,Neutral,0.0006892477353288697,0.007290390897032713,0.10301918920688978,0.10796212747029293,0.00438570290851831,0.10120133341719605
1,0,True,0.21834088620342396,Neutral,0.0008861756597085466,0.00392967059538342,0.08599122404872617,0.05140751096142848,0.0017541232686289305,0.005597836341908288
0,1,False,0.21834088620342396,Neutral,0.0008861756597085466,0.0007851369798051349,0.08599122404872617,0.05140751096142848,0.000350614127354595,0.005597836341908288
0,1,True,0.06819612286002015,Competitive,0.007778653012997242,0.015003027802631767,0.038083698997969734,0.04610154413166423,0.012806757756164322,0.025253160576136843
0,1,True,0.43548590130916415,Non-Competitive,0.0018708152816069316,0.0006632863022014762,0.16733250376579994,0.13032979602211348,0.000175175484695303,0.0837159569784263
1,0,False,0.37569234642497484,Non-Competitive,0.004824734147302088,0.0014730037082128847,0.1449341803654463,0.10859757259960603,0.00043833344868424097,0.06220517013648659
0,1,False,0.43548590130916415,Non-Competitive,0.00265852697912564,1.2289230436381886e-05,0.16733250376579994,0.13032979602211348,3.245614889196901e-06,0.0837159569784263
0,1,True,0.43548590130916415,Non-Competitive,0.004824734147302088,0.005313265386237865,0.16733250376579994,0.13032979602211348,0.0014032459833103466,0.0837159569784263
1,0,False,0.37569234642497484,Non-Competitive,0.0018708152816069316,0.0029470038405152057,0.1449341803654463,0.10859757259960603,0.0008769300553324709,0.06220517013648659
0,1,True,0.0947255790533736,Competitive,0.0018708152816069316,0.007159106618582319,0.06319994760626103,0.0864840820995107,0.00526289612181477,0.13768161519592426
0,0,False,0.21834088620342396,Neutral,0.1968294604174872,0.0004706836182473064,0.08599122404872617,0.05140751096142848,0.00021026321322716138,0.005597836341908288
1,1,True,0.09151560926485404,Competitive,0.03928712091374557,0.0023456117865358595,0.03457986770580915,0.04155811145707568,0.0017541232686289305,0.03547392917793572
